Type,Measurement 1,Data 1,Measurement 2,Data 2,Measurement 3,Data 3
Type 0,Total Transactions,88,Time used,12.330782,Throughput,7.136611
Type 1,Total Transactions,88,Time used,1.634600,Throughput,53.835815
Type 2,Total Transactions,9,Time used,117.629478,Throughput,0.076511
Type 3,Total Transactions,9,Time used,0.100884,Throughput,89.210999
Type 4,Total Transactions,12,Time used,12.646420,Throughput,0.948885
Type 5,Total Transactions,16,Time used,6.535337,Throughput,2.448229
Overall,Total Transactions,222,Time used,150.877518,Throughput,1.471392
-,-,-,-,-,-,-
Type 0,Total Transactions,77,Time used,9.281746,Throughput,8.295853
Type 1,Total Transactions,114,Time used,1.616726,Throughput,70.512886
Type 2,Total Transactions,18,Time used,167.877258,Throughput,0.107221
Type 3,Total Transactions,11,Time used,0.122167,Throughput,90.040527
Type 4,Total Transactions,8,Time used,9.155091,Throughput,0.873831
Type 5,Total Transactions,6,Time used,3.944821,Throughput,1.520982
Overall,Total Transactions,234,Time used,191.997803,Throughput,1.218764
-,-,-,-,-,-,-
Type 0,Total Transactions,101,Time used,15.689754,Throughput,6.437322
Type 1,Total Transactions,102,Time used,1.978111,Throughput,51.564358
Type 2,Total Transactions,14,Time used,145.037170,Throughput,0.096527
Type 3,Total Transactions,11,Time used,0.172704,Throughput,63.692619
Type 4,Total Transactions,7,Time used,8.204577,Throughput,0.853182
Type 5,Total Transactions,13,Time used,5.628084,Throughput,2.309845
Overall,Total Transactions,248,Time used,176.710388,Throughput,1.403426
-,-,-,-,-,-,-
Type 0,Total Transactions,100,Time used,13.728245,Throughput,7.284252
Type 1,Total Transactions,90,Time used,1.439542,Throughput,62.519882
Type 2,Total Transactions,9,Time used,114.087059,Throughput,0.078887
Type 3,Total Transactions,12,Time used,0.236861,Throughput,50.662628
Type 4,Total Transactions,11,Time used,18.818779,Throughput,0.584522
Type 5,Total Transactions,6,Time used,2.017745,Throughput,2.973617
Overall,Total Transactions,228,Time used,150.328232,Throughput,1.516681
-,-,-,-,-,-,-
Type 0,Total Transactions,100,Time used,13.424619,Throughput,7.449001
Type 1,Total Transactions,81,Time used,1.383632,Throughput,58.541584
Type 2,Total Transactions,12,Time used,131.620514,Throughput,0.091171
Type 3,Total Transactions,9,Time used,0.123917,Throughput,72.629028
Type 4,Total Transactions,12,Time used,20.968035,Throughput,0.572300
Type 5,Total Transactions,9,Time used,3.905681,Throughput,2.304336
Overall,Total Transactions,223,Time used,171.426407,Throughput,1.300850
-,-,-,-,-,-,-
Type 0,Total Transactions,97,Time used,14.770523,Throughput,6.567134
Type 1,Total Transactions,91,Time used,1.694118,Throughput,53.715260
Type 2,Total Transactions,13,Time used,148.507065,Throughput,0.087538
Type 3,Total Transactions,13,Time used,0.190814,Throughput,68.129295
Type 4,Total Transactions,9,Time used,12.276046,Throughput,0.733135
Type 5,Total Transactions,5,Time used,1.533622,Throughput,3.260257
Overall,Total Transactions,228,Time used,178.972183,Throughput,1.273941
-,-,-,-,-,-,-
Type 0,Total Transactions,92,Time used,14.153820,Throughput,6.500012
Type 1,Total Transactions,95,Time used,1.474958,Throughput,64.408592
Type 2,Total Transactions,8,Time used,115.244904,Throughput,0.069417
Type 3,Total Transactions,10,Time used,0.133416,Throughput,74.953270
Type 4,Total Transactions,5,Time used,6.864307,Throughput,0.728406
Type 5,Total Transactions,9,Time used,2.458419,Throughput,3.660890
Overall,Total Transactions,219,Time used,140.329834,Throughput,1.560609
-,-,-,-,-,-,-
Type 0,Total Transactions,102,Time used,19.423056,Throughput,5.251491
Type 1,Total Transactions,84,Time used,1.896064,Throughput,44.302299
Type 2,Total Transactions,11,Time used,132.613129,Throughput,0.082948
Type 3,Total Transactions,8,Time used,0.148478,Throughput,53.879894
Type 4,Total Transactions,8,Time used,9.794647,Throughput,0.816773
Type 5,Total Transactions,10,Time used,4.593317,Throughput,2.177076
Overall,Total Transactions,223,Time used,168.468704,Throughput,1.323688
-,-,-,-,-,-,-
Type 0,Total Transactions,108,Time used,18.698753,Throughput,5.775786
Type 1,Total Transactions,72,Time used,1.364594,Throughput,52.762955
Type 2,Total Transactions,12,Time used,144.667542,Throughput,0.082949
Type 3,Total Transactions,11,Time used,0.200666,Throughput,54.817341
Type 4,Total Transactions,5,Time used,5.572657,Throughput,0.897238
Type 5,Total Transactions,2,Time used,0.651040,Throughput,3.072007
Overall,Total Transactions,210,Time used,171.155273,Throughput,1.226956
-,-,-,-,-,-,-
Type 0,Total Transactions,96,Time used,13.389367,Throughput,7.169868
Type 1,Total Transactions,90,Time used,1.698434,Throughput,52.990005
Type 2,Total Transactions,10,Time used,127.060570,Throughput,0.078703
Type 3,Total Transactions,8,Time used,0.075659,Throughput,105.737099
Type 4,Total Transactions,13,Time used,17.388527,Throughput,0.747619
Type 5,Total Transactions,7,Time used,3.917114,Throughput,1.787030
Overall,Total Transactions,224,Time used,163.529663,Throughput,1.369782
-,-,-,-,-,-,-
Type 0,Total Transactions,106,Time used,18.001604,Throughput,5.888364
Type 1,Total Transactions,102,Time used,2.169927,Throughput,47.006191
Type 2,Total Transactions,6,Time used,85.306374,Throughput,0.070335
Type 3,Total Transactions,9,Time used,0.159267,Throughput,56.508724
Type 4,Total Transactions,10,Time used,9.883813,Throughput,1.011755
Type 5,Total Transactions,8,Time used,2.831210,Throughput,2.825647
Overall,Total Transactions,241,Time used,118.352196,Throughput,2.036295
-,-,-,-,-,-,-
Type 0,Total Transactions,106,Time used,16.755541,Throughput,6.326265
Type 1,Total Transactions,93,Time used,2.304834,Throughput,40.349976
Type 2,Total Transactions,6,Time used,82.766052,Throughput,0.072493
Type 3,Total Transactions,16,Time used,0.361733,Throughput,44.231564
Type 4,Total Transactions,6,Time used,7.355073,Throughput,0.815763
Type 5,Total Transactions,11,Time used,3.784690,Throughput,2.906447
Overall,Total Transactions,238,Time used,113.327927,Throughput,2.100100
-,-,-,-,-,-,-
Type 0,Total Transactions,89,Time used,10.264369,Throughput,8.670772
Type 1,Total Transactions,96,Time used,2.136764,Throughput,44.927753
Type 2,Total Transactions,13,Time used,146.490875,Throughput,0.088743
Type 3,Total Transactions,5,Time used,0.065044,Throughput,76.870697
Type 4,Total Transactions,7,Time used,10.243219,Throughput,0.683379
Type 5,Total Transactions,7,Time used,2.105586,Throughput,3.324490
Overall,Total Transactions,217,Time used,171.305878,Throughput,1.266740
-,-,-,-,-,-,-
Type 0,Total Transactions,87,Time used,16.314007,Throughput,5.332841
Type 1,Total Transactions,96,Time used,1.743572,Throughput,55.059372
Type 2,Total Transactions,13,Time used,135.422485,Throughput,0.095996
Type 3,Total Transactions,15,Time used,0.486107,Throughput,30.857416
Type 4,Total Transactions,13,Time used,18.465416,Throughput,0.704019
Type 5,Total Transactions,13,Time used,4.916779,Throughput,2.644008
Overall,Total Transactions,237,Time used,177.348358,Throughput,1.336353
-,-,-,-,-,-,-
Type 0,Total Transactions,96,Time used,14.768180,Throughput,6.500463
Type 1,Total Transactions,96,Time used,1.694687,Throughput,56.647621
Type 2,Total Transactions,11,Time used,127.152596,Throughput,0.086510
Type 3,Total Transactions,10,Time used,0.208275,Throughput,48.013401
Type 4,Total Transactions,16,Time used,20.406803,Throughput,0.784052
Type 5,Total Transactions,7,Time used,1.959705,Throughput,3.571965
Overall,Total Transactions,236,Time used,166.190247,Throughput,1.420059
-,-,-,-,-,-,-
Type 0,Total Transactions,93,Time used,14.114273,Throughput,6.589075
Type 1,Total Transactions,86,Time used,1.543223,Throughput,55.727512
